Elastic modulus	Materials science, Mechanics
1940 Winter Olympics	1940 in Europe, 1940 in sports, 1940s in Germany, 1940s in Japan, Cancelled Olympic Games, Olympic Games in Germany, Sport in Japan, Sport in Switzerland, Winter Olympic Games, February events
Alonso Berruguete	1488 births, 1561 deaths, Spanish painters
Alonso Sánchez Coello	1530s births, 1588 deaths, Spanish painters
Western European Union	European Union, International organizations, 1948 establishments in Europe, Military alliances
Guy Fawkes Night	British culture, Anniversary days in the United Kingdom
National Oceanic and Atmospheric Administration	United States government agencies, Scientific organizations based in the United States
Tracey Ullman	1959 births, Living people, Actors from Buckinghamshire, English comedians, English movie actors, English stage actors, English television actors, English voice actors, English writers, BAFTA Award winning actors, Emmy Award winning actors, Golden Globe Award winning actors, American comedians, American movie actors, American stage actors, American television actors, American voice actors, American writers, Knights and Dames Commander of the Order of the British Empire
The Tracey Ullman Show	1987 American television series debuts, 1980s American television series, American comedy television series, Fox television series, The Simpsons, English-language television programs
Joaquín Sorolla	1863 births, 1923 deaths, Spanish painters, People from Valencia
Laienspiegel	1509, Law, Non-fiction books, History of Germany, Mainz
Berlin Blockade	1948, 1949 in Europe, 1940s in Berlin, Cold War
Francisco Herrera the Younger	1622 births, 1685 deaths, Spanish painters, Spanish architects
Francisco Herrera the Elder	1576 births, 1656 deaths, Spanish painters
Lancelet	Chordates
Regional internet registry	Internet
Anna Göldi	1734 births, 1782 deaths, People executed for witchcraft, Swiss people
Neue Zürcher Zeitung	Newspapers in Europe, Zürich
KOffice	KOffice
Senna (herb)	Shrubs, Fabaceae
Tropical Storm Gabrielle (2007)	Atlantic tropical storms, Hurricanes in the United States
Donkey vote	Voting systems
Mariano Fortuny (painter)	1838 births, 1874 deaths, Spanish painters, People from Catalonia
No Doubt	1986 establishments in the United States, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American new wave bands, American pop music groups, American rock bands, Anaheim, California, Musical groups established in 1986, Musical groups from California, No Doubt, 1980s establishments in California, Musical groups disestablished in 2004, 2004 disestablishments in the United States, 2000s disestablishments in California, Musical groups established in 2009, 2009 establishments in California, Musical groups disestablished in 2015, 2015 disestablishments in the United States, 2010s disestablishments in California
Matchbox Twenty	American rock bands, Post-grunge bands, Musical groups from Orlando, Florida, Atlantic Records artists
Albany, Western Australia	Cities in Western Australia
Kalgoorlie	Cities in Western Australia, 1890s establishments in Australia
Joondalup, Western Australia	Suburbs of Perth, Western Australia
Mandurah, Western Australia	Cities in Western Australia
Bunbury, Western Australia	Cities in Western Australia
Rockingham, Western Australia	Suburbs of Perth, Western Australia
Esperance, Western Australia	Cities in Western Australia
Mandurah railway line, Perth	Australian railways
Transperth	Australian railways
Joondalup railway line, Perth	Australian railways
Armadale railway line, Perth	Australian railways
Silverchair	1990s Australian music groups, 2000s Australian music groups, 2010s Australian music groups, Australian rock bands, Grunge bands, Musical groups disestablished in 2011, Musical groups established in 1992, Musical groups from New South Wales, Post-grunge bands, 1992 establishments in Australia, 2010s disestablishments in Australia
Avet Terterian	1929 births, 1994 deaths, Armenian composers, 20th century composers, Armenian diaspora
Bob Denard	1929 births, 2007 deaths, Anti-Communists, Converts to Islam, Converts to Judaism, French military people, French prisoners, French Roman Catholics, Jewish military people, People from Bordeaux, Police officers
Eutheria	Mammals
Tito Beltrán	Tenors, Opera singers, 1965 births, Living people, Chilean singers
Cetartiodactyla	Mammals
Leonardo	Given names
Tetrapod	Tetrapods
Voivodeship	History of Ukraine, History of Poland
President of the Republic of Poland	Presidents of Poland
Tadeusz Kościuszko	1746 births, 1817 deaths, American generals, American revolutionaries, Generals, Naturalized citizens of the United States, Polish military people
Wes Archer	American animators, 1961 births, Living people
David Silverman	American movie directors, The Simpsons, American animators, American screenwriters, writers from New York City, 1957 births, Living people
Bill Kopp	American animators, American voice actors, 1962 births, Living people, People from Rockford, Illinois, Actors from Illinois
Klasky Csupo	American animation studios, Companies based in Los Angeles
Bergkamen	Unna Rural District
Renewable energy commercialisation in Australia	Renewable energy, Economy of Australia
Renewable energy commercialization in the United States	Energy in the United States, Renewable energy
Low kick	Martial art techniques
Spider-Man (movie)	2002 movies, 2000s superhero movies, English-language movies, Impact of the September 11 attacks, Movies composed by Danny Elfman, Movies directed by Sam Raimi, Spider-Man (2002 movie series), Spider-Man movies, Columbia Pictures movies
John Bunyan	1628 births, 1688 deaths, Baptists, Christian ministers, Christian religious leaders, Christian theologians, Christian writers, English Protestants, English theologians, English writers, Puritanism
Smith (metalwork)	Occupations
Allegory	Genres, Literary terms
Newport Pagnell	Towns in Buckinghamshire
Amniote	Tetrapods, Evolutionary biology
List of mayors of Hamburg	Mayors of Hamburg, Germany-related lists
Synapsid	Synapsids
The Pilgrim's Progress	1678 books, English novels, English-language novels
The Need for Speed	1994 video games, Need for Speed games, PlayStation games, Sports video games, Sega Saturn games
Louis de Broglie	1892 births, 1987 deaths, Dukes and duchesses of France, French academics, French Nobel Prize winners, French physicists, People from Normandy, Theoretical physicists
Las Galeras, Samaná	Settlements in Dominican Republic
Induno Olona	Cities in Lombardy
Swordfish	Edible fish, Perciformes
Carreño de Miranda	1614 births, 1685 deaths, Spanish painters
Late Old Japanese	Japanese language
Old Japanese	Japanese language
Tom and Jerry	Animated television series, Academy Award winners, Fictional animals, Cartoon Network series, Kids WB series, Spacetoon shows, Tom and Jerry, 1940s American television series, 1950s American television series, 1960s American television series, 1970s American television series, 1980s American television series, 1990s American television series, 2000s American television series, 2010s American television series, 2020s American television series, Comedy television series
Tynwald	Isle of Man, Parliaments, Devolved legislatures in the United Kingdom
Possum	Diprotodonts, Marsupials of Australia
1130	1130
Gotha	Verwaltungsgemeinschaftfrei towns in Thuringia, Gotha Rural District
Palm Island, Queensland	Islands of Australia, Indigenous Australian communities, Geography of Queensland
100 Greatest Britons	BBC, Lists of people
Igrejinha	Cities in Rio Grande do Sul, 1964 establishments in Brazil
Arroyo Barril, Samaná	Settlements in Dominican Republic, 2003 establishments, 21st-century establishments in the Dominican Republic
Intolerable Acts	1774, Law, 1770s in the United States, 1770s in the Kingdom of Great Britain
Mike Zambidis	Greek sportspeople, Martial artists, 1980 births, Living people
Indo-Greek Kingdom	Ancient Greece, History of Pakistan
Dassault Mirage 2000	French military aircraft, Dassault Aviation
Helensburgh, New South Wales	Towns in New South Wales
Hugo Award	Hugo Award
Schlenkerla	Beer, Buildings and structures in Bamberg, Taverns
Gabelmann	Buildings and structures in Bamberg, Statues
Bamberg Symphony Orchestra	German orchestras, Bamberg
Lübeck law	History of Germany
Alfonso Daniel Rodríguez Castelao	Spanish politicians, Spanish writers, Spanish Civil War, 1886 births, 1950 deaths, Galician people
Emilia Pardo Bazán	Spanish writers, 1851 births, 1921 deaths, People from A Coruña
Bamberg Cathedral	Buildings and structures in Bamberg, Cathedrals in Germany, Roman Catholic Cathedrals
Hypothalamus	Glands, Endocrine system
Square yard	Imperial units, Units of area
Ahmednagar	Cities in India, Settlements in Maharashtra, 1490 establishments, 15th century establishments in Asia
Steering wheel (ship)	Ship building
Grumman F-14 Tomcat	United States Navy aircraft, Iran, Grumman aircraft
General Dynamics F-16 Fighting Falcon	United States Air Force aircraft
M1 Garand	7.62 mm rifles, Rifles of the Cold War
Dark Horse Comics	Comic companies, 1986 establishments in the United States, 20th-century establishments in Oregon
Ernst Theodor Amadeus Hoffmann	1776 births, 1822 deaths, German painters, German writers, Music critics, People from former German territories, People from Kaliningrad
Hydrogen atom	Physics
Fuel cell	Energy
Königsberg	Kaliningrad
Live at Wembley (album)	2004 albums, Beyoncé albums, Dance pop albums, Hip hop albums, R&B albums
IPod classic	2001 establishments in the United States, 2014 disestablishments, IPod
Leo von Caprivi	1831 births, 1899 deaths, Admirals, Chancellors of Germany, German generals, German nobility, German Empire politicians, Politicians from Berlin, German Protestants, Prussian politicians
Columbia, Missouri	1821 establishments in Missouri, Cities in Missouri, County seats in Missouri
Santa Bárbara de Samaná	Settlements in Dominican Republic, 1756 establishments, 18th-century establishments in the Spanish Empire, 1750s establishments in North America
Amateur	Everyday life
Jogging	Fitness
Birdwatching	Birds, Hobbies
Albert, Prince Consort	1819 births, 1861 deaths, British Anglicans, British royalty, Deaths from typhoid fever, Disease-related deaths in England, Dukes and duchesses, German Lutherans, House of Wettin, Kings and Queens consort of the United Kingdom, Knights Companion of the Order of the Star of India, Naturalised citizens of the United Kingdom, People with foods named after them, Privy Councillors (UK)
East Berlin	Former polities of the Cold War, East Germany
Württemberg-Baden	Baden-Württemberg, Former states in Germany, 1950s disestablishments in Germany
Württemberg-Hohenzollern	Baden-Württemberg, Former states in Germany, 1945 establishments in Europe, 1950s disestablishments in Germany
Noraduz cemetery	Buildings and structures in Armenia, Cemeteries, Establishments in Armenia
Safavid dynasty	History of Iran, History of Azerbaijan, History of Islam, Azerbaijani dynasties, Royal dynasties, 1500s establishments, 18th century disestablishments in Asia, 16th century establishments in Asia, 1722 disestablishments
La Scala	Opera houses in Italy, Milan, 1778 establishments, 18th century establishments in Italy, 1770s establishments in Europe
Roger Guillemin	1924 births, Living people, American Nobel Prize winners, American physicians, French Nobel Prize winners, French physicians, Naturalized citizens of the United States, Neuroscientists, People from Dijon, Scientists from San Diego, California
Andrew Schally	1926 births, Living people, American Nobel Prize winners, American physicians, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Naturalized citizens of the United States, People from Vilnius, Polish Jews, Refugees from Nazism
Hyde Park, London	City of Westminster, Parks in the United Kingdom
Kensington Gardens	Parks in the United Kingdom, Buildings and structures in London
Delfzijl	Port cities and towns of the North Sea, Cities in the Netherlands, Settlements in Groningen (province), Former municipalities of Groningen (province), Eemsdelta
The Great Exhibition	1851, Buildings and structures in London
Peterborough	Settlements in Cambridgeshire, Cities in England, Unitary authorities, 1541 establishments, 16th century establishments in England, 1540s establishments in Europe
TSV Schwieberdingen	German football clubs, Sport in Baden-Württemberg
Las Terrenas, Samaná	Settlements in Dominican Republic, 1996 establishments in North America, 1990s establishments in the Dominican Republic
Schwieberdingen	Cities in Baden-Württemberg
Sánchez, Samaná	Settlements in Dominican Republic, 1866 establishments, 1860s establishments in the Dominican Republic
Parking	Traffic
Horsham	Towns in West Sussex
Lemgo	Lippe Rural District
Community of Madrid	Community of Madrid
Kit-Cat Klock	Clocks, Art Deco
St Michael's Church, Bamberg	Buildings and structures in Bamberg, Churches in Germany
Punta Arenas	Cities in Chile
Santiago Rusiñol	1861 births, 1931 deaths, Spanish painters, Spanish writers
Slaughterhouse	Agricultural buildings
Alfons Schuhbeck	1949 births, Living people, Chefs, German entertainers, German television personalities, People from Bavaria, Restaurateurs
Skatval	Settlements in Norway
Gefjun	Norse mythology
Stade de France	1998 establishments in Europe, 1990s establishments in France, Football stadiums in France, Île-de-France
Melbourne Cricket Ground	Cricket, Australian Football League, Sports buildings in Australia, Buildings and structures in Melbourne, 1853 establishments in Oceania, 1850s establishments in Australia
Tanning	Manufacturing
Romanesque architecture	Architectural styles
Bypass (road)	Roads
Rhine-Main-Danube Canal	Buildings and structures in Bavaria, Canals
B'Day Anthology Video Album	2007 albums, Beyoncé albums
Upgrade U	2006 songs, Beyoncé songs, Jay-Z songs
Beyoncé discography	Discographies, Beyoncé
The Beyoncé Experience	Beyoncé concert tours, 2007 in music
Beautiful Liar	2007 songs, Beyoncé songs, Shakira songs
DNA polymerase	DNA, Enzymes
Recep Tayyip Erdoğan	1954 births, Living people, Current national leaders, Mayors, Muslims, People from Istanbul, Presidents of Turkey, Prime Ministers of Turkey
Abu Talib	539 births, 619 deaths, Muslims
Doom 2	Shooter video games, 1994 video games, Doom series, DOS games, Video game sequels
Deathmatch	Video game gameplay
Samaná Bay	Bodies of water of North America, Geography of the Dominican Republic, Bays
Halibut	Flatfish, Edible fish
Sola (manga)	Anime
Ornithischia	Ornithischia
Miss Earth	Beauty pageants
Krauchthal	Municipalities of Bern
Dangerously in Love	2003 albums, Beyoncé albums, Hip hop soul albums, Neo soul albums, R&B albums
Until the End of Time	Beyoncé songs, 2007 songs
Inquisition	Christianity of the Middle Ages, Catholicism, Courts (law)
Lahore	Lahore, Cities in Pakistan, Capital of Pakistan
Punjab (Pakistan)	Punjab (Pakistan), 1972 establishments in Asia, 1970s establishments in Pakistan, Provinces of Pakistan
Peshawar	Peshawar
B'Day	Beyoncé albums, 2006 albums, Hip hop albums, Funk albums, R&B albums, 2006 in music, Pop albums
Aldeburgh Festival	Classical music festivals, Music festivals in England, Suffolk, 1948 establishments in Europe, 1940s establishments in England
Peter Pears	1910 births, 1986 deaths, Commanders of the Order of the British Empire, English LGBT people, English singers, Gay men, Knights Bachelor, LGBT musicians, Musicians from Surrey, English opera singers, Tenors
Me, Myself and I	2003 songs, Beyoncé songs, Songs about infidelity, Hip hop soul songs, R&B songs
Sexy Little Thug	2003 songs, Beyoncé songs
Encore (concert)	Performing arts
Cay	Islands
Sarcopterygii	Lobe-finned fish
Actinopterygii	Ray-finned fish
Extended play	Albums
Richard von Weizsäcker	1920 births, 2015 deaths, Former members of the German Bundestag, German lawyers, German Lutherans, German writers, Order of Merit of the Federal Republic of Germany, People from Stuttgart, Politicians from Baden-Württemberg, Politicians of the Christian Democratic Union of Germany, Presidents of Germany
Millennium Stadium	Football stadiums in the United Kingdom, Buildings and structures in Wales, Sport in Wales, Football in Wales, Cardiff
National Collegiate Athletic Association	National Collegiate Athletic Association, 1906 establishments in the United States, 20th-century establishments in Indiana
Happy Mondays	Musical groups established in 1980, 1980 establishments in England, Musical groups disestablished in 1993, 1993 disestablishments in England, Musical groups established in 1999, 1999 establishments in England, Musical groups disestablished in 2000, 2000 disestablishments in Europe, 2000s disestablishments in England, Musical groups established in 2004, 2004 establishments in England, Musical groups disestablished in 2010, 2010 disestablishments in Europe, 2010s disestablishments in Europe, Musical groups established in 2012, 2012 establishments in Europe, 2010s establishments in England, Musical groups disestablished in 2012, 2012 disestablishments in Europe, 21st century disestablishments in England, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, English rock bands, Musical groups from Greater Manchester
Adidas	1920s establishments in Germany, 1924 establishments in Europe, Companies of Germany, Clothing companies, Companies listed on the DAX, Bavaria
Joy Division	1976 establishments in the United Kingdom, 1970s British music groups, 1980s British music groups, 1980s disestablishments in the United Kingdom, English punk bands, Musical groups disestablished in 1980, Musical groups established in 1976, Musical groups from Greater Manchester
New Order	Musical groups established in 1980, 1980 establishments in England, Musical groups disestablished in 1993, 1993 disestablishments in England, Musical groups established in 1998, 1998 establishments in England, Musical groups disestablished in 2007, 2007 disestablishments in the United Kingdom, 2000s disestablishments in England, Musical groups established in 2011, 2011 establishments in England, 1980s British music groups, 1990s British music groups, 2000s British music groups, 2010s British music groups, Brit Award winners, English rock bands, Musical groups from Greater Manchester
Peter Hook	1956 births, Living people, English guitarists
Bernard Sumner	1956 births, Living people, English singers
Chorlton-on-Medlock	Districts of Manchester
Ultimate Fighting Championship	Mixed martial arts organizations, Ultimate Fighting Championship
Chorlton-cum-Hardy	Districts of Manchester
Acropolis	Fortification
Wokingham	Towns in Berkshire
California wildfires of October 2007	2007 in California, 2000s disasters in North America, Natural disasters in the United States, Fires in the United States
Parasaurolophus	Hadrosauridae
Thai boxing	Martial arts
Carrefour	Companies of France, 1957 establishments in France
Never Say Never	1998 albums, Brandy albums
Soviet occupation zone	East Germany, 1940s establishments in the Soviet Union, 1945 establishments in Germany, 1949 disestablishments, 1940s disestablishments in Germany
Iron Man (song)	1970 songs
Death in Venice (opera)	Compositions by Benjamin Britten, 1970s operas, 1973
Territory of the Saar Basin	States and territories established in the 20th century, 1920 establishments in Europe, 1920s establishments in Germany, League of Nations mandates, Saarland, States and territories disestablished in the 20th century, 1930s disestablishments in Germany, 1935 disestablishments in Europe
William Walton	1902 births, 1983 deaths, 20th century composers, English composers, Order of Merit, People from Oldham, Greater Manchester, Knights Bachelor
List of Romanian composers	Lists of people, Romanian composers
Free City of Danzig	1930s disestablishments in Germany, 1920 establishments in Europe, 1920s establishments in Germany, Former city-states, Gdańsk, League of Nations mandates, States and territories disestablished in the 20th century, States and territories established in the 20th century
Surf's Up (movie)	2007 animated movies, American animated movies, Movies about animals, English-language movies, Movies directed by Chris Buck
Baby Boy	Beyoncé songs, 2003 songs
List of heads of state of the Free City of Danzig	League of Nations, Lists of heads of state
Main-Franconian dialects	German dialects, Languages of Germany
Port Arthur, Texas	Cities in Texas
Moisture	Water
Marta Colvin	Chilean sculptors, People from Bío Bío Region, 1907 births, 1995 deaths
Bárbara of Portugal	House of Braganza, 1711 births, 1758 deaths, People from Lisbon, Princes and Princesses of Asturias, Spanish House of Bourbon, Kings and Queens consort of Spain
List of Arizona hurricanes	Arizona-related lists, Weather lists, Hurricanes in the United States
Mallard	Ducks
Naughty Girl	Beyoncé songs, 2004 songs
Yankee Stadium (1923)	Former Major League Baseball venues, Former National Football League venues, Sports buildings in New York City, New York Yankees, The Bronx, 1923 establishments in the United States, 1920s establishments in New York (state), 2009 disestablishments in the United States, 2000s disestablishments in New York (state)
British occupation zone	West Germany, 1945 establishments in Germany, 1940s establishments in the United Kingdom, 1949 disestablishments, 1940s disestablishments in Germany, 1940s disestablishments in the United Kingdom
Greater Hesse	Hesse, 1945 establishments in Germany, 1946 disestablishments in Europe, World War II, Former states in Germany, 1940s disestablishments in Germany
Mioriţa	Songs, Romania
Muzio Clementi	1752 births, 1832 deaths, Disease-related deaths in England, Italian composers, Musicians from Rome
Chromatography	Laboratory techniques, Analytical chemistry
IPhone	Messaging, IPhone
Concert hall	Concert halls
Madrigal	Musical forms
Saxe-Coburg-Saalfeld	House of Wettin, States of the Confederation of the Rhine, States of the German Confederation, States of the Holy Roman Empire, Thuringia
Sonora	Sonora, States of Mexico
Monsoon	Severe weather, Winds
Baja California (state)	Baja California (state), States of Mexico
Verizon Ladies First Tour	2004 in the United States, Alicia Keys, Beyoncé concert tours
Dangerously in Love World Tour	Beyoncé concert tours, 2003 in Europe, 2000s in Manchester, 21st century in London, History of Dublin, History of Amsterdam, November events
Déjà Vu (song)	Beyoncé songs, Jay-Z songs, 2006 songs
If (Beyoncé song)	2007 songs, 2000s ballads, R&B songs, Beyoncé songs
Number 1's	Destiny's Child albums, Beyoncé albums, 2005 albums, Compilation albums
Ciara	Ciara, 1985 births, Living people, Actors from Austin, Texas, African American actors, African-American singers, American dancers, American movie actors, American record producers, Grammy Award winners, Singer-songwriters from Texas
Mykolaiv	Cities in Ukraine, 1789 establishments, Establishments in Ukraine, 1780s establishments in Europe
Akkad	Mesopotamia, Empires
Faisal Mosque	Buildings and structures in Islamabad, Mosques in Asia, National symbols of Pakistan, Religion in Pakistan, 1986 establishments in Asia, 20th century establishments in Pakistan
Song cycle	Song forms
Quetta	Capital cities in Pakistan, Cities in Pakistan, Quetta
Gilgit	Hill Stations in Pakistan, Capital cities in Pakistan
Frottola	Song forms
Bartolomeo Tromboncino	1470s births, 16th century deaths, Italian composers, Renaissance composers, People from Verona
De jure	Latin phrases, Legal terms
Boy George	1961 births, Living people, British autobiographers, British people convicted of assault, English LGBT people, Gay men, LGBT singers, Musicians from Kent, New wave musicians, Singers from London
Bon Jovi	American hard rock bands, Glam metal bands, Musical groups from New Jersey, Musical groups established in 1983, 1983 establishments in the United States, 1980s establishments in New Jersey
Anastasia (1956 movie)	1956 drama movies, American drama movies, Movies set in Russia, 20th Century Fox movies, Multilingual movies, Movies directed by Anatole Litvak
Valdivia	Cities in Chile
Sir Seewoosagur Ramgoolam International Airport	Mauritius, Airports in Africa
Pervez Musharraf	1943 births, Living people, Generals, Pakistani military people, People from Delhi, Pakistani Muslims, Presidents of Pakistan
Bas-relief	Sculpture
Dogfights	2006 television series debuts, English-language television programs
Dogfight	Aircraft, Military aviation
M1911 pistol	Pistols
Artaxiad dynasty of Iberia	History of Georgia (country), Royal dynasties
Stocking	Clothing
Robe	Clothing
Geri Halliwell	1972 births, Living people, English pop singers, Musicians from Hertfordshire, People from Watford, Spice Girls
The Crucible	Plays, Salem Witch Trials, 1950s works
Rush Limbaugh	1951 births, 2021 deaths, Actors from Missouri, American conservatives, American journalists, American political activists, American political writers, American radio personalities, American voice actors, Cancer deaths in Florida, Deaths from lung cancer, Writers from Missouri, Deaf people
Second Life	Online games, 2003 establishments
Ford Falcon	1960s automobiles, 1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles, Ford automobiles
Hoboken	Antwerp
Bottlenose dolphin	Oceanic dolphins
Franz Josef Strauß	1915 births, 1988 deaths, Cardiovascular disease deaths in Germany, Deaths from heart failure, Former members of the German Bundestag, German military personnel of World War II, Government ministers of Germany, Ministers-President of Bavaria, Order of Merit of the Federal Republic of Germany, People from Munich, Politicians from Bavaria, Politicians of the Christian Social Union of Bavaria
President of the German Bundesrat	Presidents of the German Bundesrat
German TV	German television networks
List of presidents of the German Bundesrat	Presidents of the German Bundesrat, Politics of Germany, Germany-related lists, Lists of legislative speakers
Maximilien de Robespierre	1758 births, 1794 deaths, French politicians, People of the French Revolution
Declaration of the Rights of Man and of the Citizen	French Revolution, 1789 works
The Simpsons Halloween episodes	The Simpsons, Treehouse of Horror
Bonerath	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Gusterath	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Gutweiler	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Hinzenburg	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Holzerath	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Kasel	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Korlingen	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Mertesdorf	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Morscheid	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Ollmuth	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Pluwig	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Riveris	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Sommerau	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Waldrach	Municipalities in Rhineland-Palatinate, Trier-Saarburg
Perfect Stranger (movie)	2006 movies, English-language movies
American bison	Bovines, Symbols of the United States, Symbols of Oklahoma, Symbols of Kansas, Mammals of North America
Jiroft civilization	History of Iran
Tigranakert	Settlements in Armenia, 1st-century BC establishments, Establishments in Armenia
Combat sport	Martial arts
Ground fighting	Martial art techniques
Anderson Silva	Brazilian sportspeople, Mixed martial artists, 1975 births, Living people
Karo Parisyan	1982 births, Living people, Armenian sportspeople, American mixed martial artists
Diego Sanchez	American mixed martial artists, Sportspeople from Albuquerque, New Mexico, 1981 births, Living people
Elías Piña Province	Provinces of the Dominican Republic, 1942 establishments in North America, 1940s establishments in the Dominican Republic
Mila Kunis	1983 births, Living people, Actors from Los Angeles, California, American movie actors, American television actors, American voice actors, Jewish American actors, Jewish models, Models from Los Angeles, California, Naturalized citizens of the United States, Soviet Jews, Ukrainian Jews
Crazy in Love	Beyoncé songs, Jay-Z songs, 2003 songs, Debut singles, Funk songs, Hip hop songs, R&B songs
Check on It	Destiny's Child songs, Beyoncé songs, 2005 songs
Irreplaceable	2006 songs, Beyoncé songs, Songs about infidelity, Songs with feminist themes
Amor Gitano	Beyoncé songs, 2007 songs
Work It Out	Beyoncé songs, 2002 songs
Get Me Bodied	Beyoncé songs, 2007 songs
Beyoncé	Beyoncé, 1981 births, Living people, Actors from Houston, Texas, American feminists, Singer-songwriters from Texas, African American musicians, Brit Award winners, Grammy Award winners, Singers from Houston, Texas, Destiny's Child, American voice actors, American R&B singers
Listen (song)	Beyoncé songs, 2007 songs
Lose My Breath	Destiny's Child songs, 2004 songs
Destiny's Child discography	Discographies, Destiny's Child
1983 Pacific hurricane season	Pacific hurricane seasons, 1983
1972 Pacific hurricane season	Pacific hurricane seasons, 1972 in North America
1970 Pacific hurricane season	Pacific hurricane seasons, 1970 in North America
1977 Pacific hurricane season	Pacific hurricane seasons, 1977
2003 Pacific hurricane season	Pacific hurricane seasons, 2003 in weather
1989 Pacific hurricane season	Pacific hurricane seasons, 1989
1995 Pacific hurricane season	1995 Pacific hurricane season, Natural disasters in North America, Pacific hurricane seasons
1992 Pacific hurricane season	Pacific hurricane seasons, 1992
Santa Cruz River	Rivers of Mexico, Rivers of Arizona, Sonora
Artibonite River	Rivers of the Dominican Republic, Geography of Haiti
Jens Pulver	American mixed martial artists, 1974 births, Living people
Video CD	Compact Disc, Video Discs
Boston Red Sox	Boston Red Sox, 1901 establishments in the United States, 1900s establishments in Massachusetts
Irreemplazable	Beyoncé albums, 2007 albums, Latin pop albums, Hip hop albums, R&B albums
Ring the Alarm	Beyoncé songs, 2006 songs
'03 Bonnie & Clyde	2002 songs, Beyoncé songs, Jay-Z songs, Rap songs
One Night Only	Beyoncé songs, 2006 songs
Dangerously in Love 2	Beyoncé songs, 2003 songs
Green Light	Beyoncé songs, 2007 songs
Suga Mama	2007 songs, Beyoncé songs, Funk songs, R&B songs
I Got That	Beyoncé songs, 2000 songs
Jumpin' Jumpin'	Destiny's Child songs, 2000 songs
Beyoncé The Ultimate Performer	Beyoncé albums
Fighting Temptation	Beyoncé songs, 2003 songs
Slaithwaite	Villages in West Yorkshire
Bundesverfassungsgericht	Karlsruhe
Kaaba	Buildings and structures in Saudi Arabia, Mecca, Mosques, Religion in Saudi Arabia
Five Pillars of Islam	Islam, Religious ethics
EUX.TV	Television stations
Awadhi language	Indo-Aryan languages, Languages of India
Westdeutscher Rundfunk	German broadcasting companies, Cologne
ARD (broadcaster)	German broadcasting companies, 1950 establishments in Europe, 1950s establishments in Germany
Deutsche Welle	German television networks, 1953 establishments in Europe, 1950s establishments in Germany
Guildford Dudley	1536 births, 1554 deaths, English people
Medical papyri	Manuscripts, Ancient Egypt
Tibetan Book of the Dead	Afterlife, Tibet, Buddhist texts
ChalkZone	Animated television series, Nickelodeon television series, 2002 American television series debuts, 2004 American television series endings, English-language television programs
Lockheed Martin F-22 Raptor	United States Air Force aircraft, Lockheed & Lockheed-Martin aircraft
Edom	Ancient history
Hollywood (song)	Jay-Z songs, Beyoncé songs, 2007 songs
Summertime (song)	Beyoncé songs, 2003 songs, Hip hop songs, Hip hop soul songs, R&B songs
Fabaceae	Fabaceae
List of political parties in Germany	Germany-related lists, Lists of political parties, Political parties in Germany
Federal Convention (Germany)	German Bundestag, Government of Germany, President of Germany
Friedrich Ebert	1871 births, 1925 deaths, Chancellors of the Weimar Republic, German people of World War I, Members of the Reichstag (German Empire), Members of the Reichstag (Weimar Republic), People from Heidelberg, Politicians from Baden-Württemberg, Politicians of the Social Democratic Party of Germany, Presidents of the Weimar Republic, Presidents of Germany, Chancellors of Germany, Prussian politicians
Walter Simons	1861 births, 1937 deaths, Chief justices, German academics, German judges, Government ministers of the Weimar Republic, Politicians from North Rhine-Westphalia, Presidents of the Weimar Republic
Full Moon (album)	2002 albums, Brandy albums
U Don't Know Me (Like U Used To)	1999 albums, Brandy albums
The Boy Is Mine	1998 songs, Brandy songs
ETA (separatist group)	1959 establishments in Europe, Crime in France, Crime in Spain, National liberation movements, Nationalist organizations in Europe, Politics of Spain, Rebel militia groups, Terrorism
Petr Eben	1929 births, 2007 deaths, Czech composers, Organists, 20th century composers
Totalitarianism	Forms of government
Gothic metal	Gothic metal
Paul von Hindenburg	1847 births, 1934 deaths, Cancer deaths in Germany, German generals, German military personnel of World War I, People from former German territories, People from Poznań, Presidents of Nazi Germany, Presidents of the Weimar Republic
Sharon Osbourne	British autobiographers, Cancer survivors, Television personalities from London, 1952 births, Living people
Cy Young	1867 births, 1955 deaths, Boston Red Sox players, St. Louis Cardinals players, American baseball players, National Baseball Hall of Fame members, Sportspeople from Ohio
Arabic alphabet	Alphabets, Arabic language
