Boeing Model 40	Boeing aircraft
Beechwood Cemetery	Buildings and structures in Ottawa, National cemeteries, 1873 establishments in Canada, Commonwealth War Graves Commission, Military monuments and memorials
Urbandale, Iowa	Cities in Iowa
Annual percentage rate	Money
Passbook (application)	Apple software
Jonas Salk	1914 births, 1995 deaths, American physicians, Congressional Gold Medal recipients, Cardiovascular disease deaths in California, Deaths from heart failure, Jewish American scientists, New York University alumni, Scientists from New York City, Scientists from Pittsburgh, Pennsylvania, Vaccinologists, Virologists
Donkey Kong Jungle Beat	Donkey Kong, Nintendo GameCube games, Platform games, 2004 video games
Matthew Henson	1866 births, 1955 deaths, Deaths from stroke, American explorers, People from Maryland
Robert Peary	1856 births, 1920 deaths, American explorers, People from Portland, Maine, People from Pennsylvania
Star Fox (video game)	1993 video games, Nintendo Entertainment Analysis and Development games, Star Fox, Super Nintendo Entertainment System games
Grady Hatton	1922 births, 2013 deaths, Baltimore Orioles players, Boston Red Sox players, Chicago Cubs players, Chicago White Sox players, Cincinnati Reds players, Deaths from natural causes, People from Beaumont, Texas, St. Louis Cardinals players, National League All-Stars
Ralph Kiner	1922 births, 2014 deaths, Pittsburgh Pirates players, Chicago Cubs players, Cleveland Indians players, Sportspeople from New Mexico, Baseball players from California, National League All-Stars
National Chung Hsing University	Colleges and universities in Taiwan, 1919 establishments in Asia, 20th century establishments in Taiwan
National Chung Cheng University	Colleges and universities in Taiwan, 1989 establishments in Taiwan
Ice core	Climate change
Rumaithiya	Kuwait
Milutin Milanković	1879 births, 1958 deaths, Astronomers, Science writers, Theoretical physicists, Serbian scientists
Brooke Adams	Actors from New York City, American movie actors, 1949 births, Living people
Royal Rumble (2006)	Royal Rumble, Sports in Miami, Florida, 2006 in American television, 2006 in professional wrestling, 2000s in Florida, 21st century in Miami, Florida
George Steele	1937 births, 2017 deaths, Actors from Detroit, Michigan, American Baptists, American professional wrestlers, Deaths from renal failure, Disease-related deaths in Florida, Former WWE wrestlers, Sportspeople from Detroit, Michigan, WWE Hall of Fame
Kirby's Pinball Land	Kirby, Pinball video games, Game Boy games, 1993 video games, Virtual Console games, Video game spin-offs
Kirby's Dream Collection	Kirby, Wii games, 2012 video games, Compilation video games
Chris Cooper	1951 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Kansas City, Missouri, Actors from Houston, Texas, Academy Award winning actors, Golden Globe Award winning actors
John Mutton (politician)	1966 births, Living people, Canadian mayors, Politicians from Ontario
Nagisa Oshima	1932 births, 2013 deaths, Japanese movie directors, Japanese screenwriters, Deaths from pneumonia, People from Kyoto Prefecture
Educational psychology	Branches of psychology
Kermit Gosnell	1941 births, American physicians, People from Philadelphia, Pennsylvania, Living people
Gary Player	People from Johannesburg, South African golfers, White South African people, 1935 births, Living people
National Trust of Australia	Australian culture, Canberra, 1965 establishments in Oceania, 1960s establishments in Australia
Helena-West Helena, Arkansas	Cities in Arkansas, County seats in Arkansas
Talgai	Archaeological sites in Australia, History of Australia, Queensland
Into Eternity	1990s music groups, 1997 establishments in Canada, 2000s music groups, 2010s music groups, Canadian heavy metal bands, Canadian thrash metal bands, Melodic death metal bands, Power metal bands, Progressive metal bands, People from Regina, Saskatchewan
Isabelle Allen	Living people, 2002 births, English movie actors
Assumption College	Schools, Buildings and structures in Bangkok
Scatter graph	Mathematics, Diagrams
Hero of Alexandria	Ancient Greece, Ancient mathematicians, Engineers, 10s births, 70 deaths, People from Alexandria
OS X Mountain Lion	MacOS
Sehnsa	Tehsils of Azad Kashmir
Turkish State Cemetery	Buildings and structures in Turkey, National cemeteries, 1981 establishments, Military monuments and memorials, Ankara
Chi Cheng	1970 births, 2013 deaths, American Buddhists, American guitarists, American heavy metal musicians, Bassists, Musicians from California, Road accident deaths
Laura Kaeppeler	Beauty pageant winners, People from Wisconsin, 1988 births, Living people
Toluca de Lerdo	Capital cities in Mexico, Settlements in Mexico (state), 1520s establishments in Mexico, 1522 establishments
Angélica Rivera	1969 births, Living people, First Ladies of Mexico, Mexican movie actors, Mexican television actors, Mexican stage actors, Mexican voice actors, Actors from Mexico City
César Évora	1959 births, Living people, Cuban actors, Mexican movie actors, Mexican television actors, Mexican stage actors, Mexican voice actors, People from Havana
Daína Chaviano	1960 births, Living people, Cuban writers, People from Havana
Angélica Gorodischer	1928 births, Living people, Writers from Buenos Aires
Tom Atkins	1935 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Pittsburgh, Pennsylvania
Djurgårdsandan	2006 establishments in Europe, Organizations based in Europe, Sweden, 2000s establishments in Sweden
Woodhenge	Wiltshire, Henges, World Heritage Sites in the United Kingdom, Buildings and structures in England, Archaeological sites in Wiltshire, National Trust properties
Tokyo Metropolis	Tokyo, 1943 establishments, Prefectures of Japan
Ring of Brodgar	Prehistoric buildings and structures, Archaeological sites in Scotland, Henges, Stone circles, Orkney, Neolithic
Gliese 581	Red dwarfs
EPR paradox	Quantum mechanics
Soakage	Geography of Australia, Indigenous Australian history, Water, Aquifers, Agriculture in Australia
America's Next Top Model, Cycle 17	America's Next Top Model
Wuhan	Cities in China, 1927 establishments in Asia, 20th century establishments in China
Wuhan University	Colleges and universities in the People's Republic of China, 1893 establishments
Mantarur	Geography of the Northern Territory
Maria Tallchief	Entertainers from Oklahoma, 1925 births, 2013 deaths, Deaths from surgical complications, Deaths from fractured hip, Accidental deaths in Chicago, Accidental deaths from falls, American dancers, Native American people
Olia chain	Mountain ranges of Australia, Mountains of the Northern Territory
Star Fox Adventures	2002 video games, Nintendo GameCube games, Star Fox
Orthonormality	Algebra, Functions and mappings
Frank Bank	1942 births, 2013 deaths, Actors from Los Angeles, California, American movie actors, American stage actors, American television actors, American voice actors
Harvey Fierstein	1954 births, Living people, Actors from New York City, American atheists, American LGBT rights activists, American movie actors, American playwrights, American stage actors, American television actors, American voice actors, Democrats (United States), Drama Desk Award winners, Gay Jews, Jewish activists, Jewish American actors, Jewish American LGBT people, Jewish American writers, Jewish atheists, LGBT actors, LGBT playwrights, Tony Award winning actors
James Whistler	1834 births, 1903 deaths, American painters
Railgun	Firearms, Artillery
Beneficiary	Legal terms
Katiti Aboriginal Land Trust	Aboriginal Land Trusts, Northern Territory, 1980 establishments in Australia
Palestinian political violence	Arab–Israeli conflict, Palestine, Nationalism, Violence
Fred Durst	Fred Durst, 1970 births, Living people, American heavy metal musicians, American movie directors, American rap musicians from North Carolina, American singer-songwriters, Musicians from North Carolina, Singers from Florida
Dave Lombardo	American drummers, American heavy metal musicians, Cuban musicians, Drummers, People from Havana, 1965 births, Living people
Mount Currie	Mountains of the Northern Territory
Plastic Brit	Phrases, Pejoratives, Subculture, British culture
2013 Boston Marathon bombings	2013 murders in the United States, 2010s explosions, 2010s in Boston, Massachusetts, April 2013 events, Explosions in the United States, Islamic terrorist incidents in the United States, Terrorist incidents in 2013
Worm charming	Sports involving animals, Fishing, Leisure
Yoruba religion	African traditional religions, Nigerian culture, Benin, Cuban culture
Intracranial aneurysm	Health problems, Stroke
James Jesus Angleton	1917 births, 1987 deaths, American autobiographers, Anti-Communists, Harvard University alumni, People from Boise, Idaho, Politicians from Idaho, Yale University alumni
Teresa Scanlan	Beauty pageant winners, People from Nebraska, 1993 births, Living people
Camden, New Jersey	Cities in New Jersey, County seats in New Jersey, 1828 establishments in the United States, 19th-century establishments in New Jersey
Non-volatile random-access memory	Computer memory
2013 FA Cup Final	2013 in association football, Football competitions, Sport in London, The Football Association, 2013 in London
Museo Reina Sofía	Museums in Spain
Gentleman (PSY song)	2013 songs
Ensemble Studios	Video game companies
Globe Theatre	Buildings and structures in London, London Borough of Southwark, Theatres in the United Kingdom, William Shakespeare
Xbox Game Studios	Video game companies, Microsoft
Blame It on the Rain	1989 songs, Pop songs, Milli Vanilli songs
Altrincham	Towns in Greater Manchester
Lin Biao	1907 births, 1971 deaths, Chinese generals
Ancient Greek sculpture	Ancient Greece, Sculpture
Slot machine	Gambling, Machines
Freemium	Marketing
Donald A. Glaser	1926 births, 2013 deaths, American Nobel Prize winners, American physicians, Deaths from natural causes, Jewish American scientists, Jewish Nobel Prize winners, Neuroscientists, Scientists from Cleveland, Ohio
Otfried Preußler	1923 births, 2013 deaths, Deaths from natural causes, German writers, Czechoslovak writers
The City of God	Christian theology, Christian texts
Kirby's Tilt 'n' Tumble	2000 video games, Game Boy Color games, Puzzle video games, Kirby
Ureter	Anatomy of the urinary system
Credit history	Money
Rachel Robinson	1922 births, Living people, American educators, American activists, People from Los Angeles, California
Gauge	Measuring tools
Speedometer	Auto parts, Measuring tools, Automotive technologies
AFL-NFL Merger	National Football League, 1970 in sports
Major professional sports leagues of the United States and Canada	Sports in the United States, Sport in Canada
All Through the Night	1984 songs, Pop songs
Jon Santacana Maiztegui	Living people, Spanish Paralympic gold medalists, Spanish Paralympic silver medalists, 1980 births, Spanish skiers, 2002 Winter Paralympics, 2006 Winter Paralympics, 2010 Winter Paralympics, Sportspeople with disabilities, type B2, Competitors at the 2018 Winter Paralympics
Diving bell	diving
Anne T. Hill	1916 births, 1999 deaths, Deaths from heart failure, American fashion designers, American teachers, Businesspeople from Atlanta, Georgia
Spanish Paralympic Committee	Paralympic Games, Sports for the disabled, Sport in Spain, 1995 establishments in Europe, 1990s establishments in Spain
Parks Australia	Government agencies of Australia, Conservation in Australia
Michael D. Higgins	1941 births, Living people, Current national leaders, Presidents of Ireland, People from Limerick
José Abal	Spanish athletes, Living people, Spanish Paralympic silver medalists, Year of birth missing (living people), 1992 Summer Paralympics, 1996 Summer Paralympics
Nicolás Maduro	1962 births, Living people, Presidents of Venezuela, Vice Presidents of Venezuela, Current national leaders, Hindus, People from Caracas
Uluṟu–Kata Tjuṯa Aboriginal Land Trust	Aboriginal Land Trusts, Northern Territory, 1985 establishments in Australia
Palisades Sill	Igneous rocks, New York, New Jersey
Moccasin	Footwear
Mannanana Range	Mountain ranges of Australia, Mountains of the Northern Territory
Court shoe	Footwear
Scalar boson	Elementary particles
America's Next Top Model, Cycle 13	America's Next Top Model
America's Next Top Model, Cycle 12	America's Next Top Model
Students for a Free Tibet	1994 establishments in the United States, Non-profit organizations of the United States, Human rights organizations in the United States, Tibet
America's Next Top Model, Cycle 18	America's Next Top Model
Sansha	Cities in China, 2012 establishments in Asia, 2010s establishments in China
Quantum teleportation	Quantum mechanics, Theoretical computer science
Paracel Islands	Territorial disputes, Territorial disputes of China, Islands of Asia, Pacific islands, Uninhabited regions
Beach Erosion Board	United States government agencies, 1930 establishments in the United States, 1963 disestablishments in the United States
Izu Islands	Islands of Japan, Tokyo Prefecture
Substantia nigra	Anatomy of the brain
Dissection (band)	1980s music groups, Musical groups established in 1996, 1990s music groups, 2000s music groups, Musical groups disestablished in 2006, 2010s music groups, Black metal bands, Death metal bands, Melodic death metal bands, Swedish heavy metal bands
Mike Eastwood	Canadian ice hockey centres, Chicago Blackhawks players, Ice hockey people from Ontario, New York Rangers players, People from Ottawa, Phoenix Coyotes players, Pittsburgh Penguins players, St. Louis Blues players, Toronto Maple Leafs players, Winnipeg Jets (1979–96) players, 1967 births, Living people, American Hockey League players
Jack Dyte	1967 births, 1974 deaths, American Hockey League players, Canadian ice hockey defencemen, Chicago Blackhawks players, Ice hockey people from Ontario, Eastern Hockey League players
West Fertilizer Plant explosion	2013 in the United States, 2010s explosions, 2010s in Texas, April 2013 events, Explosions in the United States
Mädchen Amick	Actors from Nevada, American movie actors, American television actors, 1970 births, Living people
Geoffrey	Given names
Sub-Roman Britain	History of the British Isles, Ancient Rome
Rufous hare-wallaby	Macropods, Marsupials of Australia
ITT Corporation	American technology companies
George Gamow	1904 births, 1968 deaths, American academics, American physicists, Naturalized citizens of the United States, People from Odessa, Russian academics, Russian physicists, Soviet people, Theoretical physicists
Hasty generalization	Logical fallacies
Kelly Hills	Mountain ranges of Australia, Mountains of the Northern Territory
Pikmin 3	2013 video games, Pikmin series, Wii U games
Tivoli Gardens	Theme parks in Europe, Copenhagen, 1843 establishments in Europe, 19th century establishments in Denmark
Jenny Lind	Cancer deaths in England, European opera singers, Singers from Stockholm, 1820 births, 1887 deaths
Compound (linguistics)	Grammar
Raymond Briggs	British children's writers, English artists, 1934 births, Living people, English writers
Nintendo Land	2012 video games, Wii U games, Nintendo Entertainment Analysis and Development games, Party video games
Ambrosius Aurelianus	Roman people, History of the British Isles, 5th century births, Year of death unknown
Home economics	Economics, Home
Fools Garden	German musical groups, Musical groups established in 1991, 1990s establishments in Germany, 1991 establishments in Europe
Freehold (law)	Legal terms, Property
America's Next Top Model, Cycle 8	America's Next Top Model
Control unit	Computers
South China Sea Islands	Islands of Brunei, Islands of China, Islands of Malaysia, Islands of the Philippines, islands of Taiwan, Islands of Vietnam
List of uninhabited regions	Geography-related lists, Uninhabited regions
Jim Kelly	1970 births, Living people, American football quarterbacks, Sportspeople from Pennsylvania, Buffalo Bills players, People with cancer
W. E. B. Du Bois	1868 births, 1963 deaths, American civil rights activists, American communists, American historians, American sociologists, Deaths from natural causes, Democrats (United States), Ghanaian people, People who lost citizenship, Writers from Massachusetts
John Jay O'Connor	1930 births, 2009 deaths, Deaths from Alzheimer's disease, American lawyers, Businesspeople from San Francisco
Texas City disaster	1947 in the United States, Disasters in the 1940s, 20th century in Texas, Transport disasters in the United States, April events
Texas City, Texas	Cities in Texas, 1911 establishments in the United States, 1910s establishments in Texas
Dead reckoning	Navigation
Yum! Brands	20th-century establishments in Kentucky, 1997 establishments in the United States, American fast food restaurants, Companies based in Kentucky, Louisville, Kentucky
Iltur, South Australia	Indigenous Australian communities, Settlements in South Australia, Pitjantjatjara
Honeypot ant	Ants, Indigenous Australian culture
Makiri, South Australia	Indigenous Australian communities, Settlements in South Australia, Pitjantjatjara, Waterholes of Australia
Britain & Ireland's Next Top Model	Top Model television series
Ambrose Rogers	Irish footballers, Living people, Year of birth missing (living people)
Britain & Ireland's Next Top Model, Cycle 8	Top Model television series, Britain's Next Top Model
River mouth	Rivers
Storm Thorgerson	1944 births, 2013 deaths, Cancer deaths in England, English artists, People from Middlesex
Hogna	Lycosidae
Great Expectations	1861 books, Books by Charles Dickens, English-language novels, English novels, London in fiction
A&W Restaurants	American food companies, 1919 establishments in the United States, 1920s establishments in California
Tigrosa	Lycosidae
Tigrosa helluo	Lycosidae
Leandra Leal	1982 births, Living people, Brazilian television actors, Brazilian movie actors
Stoker (movie)	2013 drama movies, 2013 thriller movies, 2010s drama thriller movies, 2010s psychological movies, 2010s serial killer movies, American drama thriller movies, American psychological movies, American serial killer movies, Antisocial personality disorder in fiction, British drama movies, British thriller movies, English-language movies, Movies about death, Movies about dysfunctional families, Movies about siblings, American independent movies
Kaḻayapiṯi	Geography of South Australia, Waterholes of Australia
America's Next Top Model, Cycle 5	America's Next Top Model
Petra Mede	1970 births, Swedish entertainers, Living people, Comedians, Dancers, Swedish television presenters, Eurovision Song Contest presenters, People from Stockholm, People from Gothenburg
Political geography	Political geography
Conflation	Logical fallacies
Tjayanka Woods	1935 births, Living people, Australian painters, Weavers, Indigenous Australian artists, Pitjantjatjara, Artists from Western Australia, Artists from South Australia
Benin City	Cities in Nigeria
Karl Benz	1844 births, 1929 deaths, German engineers, German inventors, People from Karlsruhe
Kunytjanu, South Australia	Settlements in South Australia, Indigenous Australian communities, Pitjantjatjara, Waterholes of Australia
AirTran Airways	Airlines of the United States, 1993 establishments in the United States, 2014 disestablishments in the United States
DualShock	PlayStation, Video game controllers
Emmelie de Forest	1993 births, Danish singers, Living people, Eurovision Song Contest winners
Save Rock and Roll	2013 albums, Fall Out Boy albums
My Songs Know What You Did in the Dark (Light 'Em Up)	Fall Out Boy songs, 2013 songs
The Phoenix (song)	Fall Out Boy songs, 2013 songs
Araneomorphae	Araneomorphae
The Tinderbox	Fairy tales, Works by Hans Christian Andersen
The Princess and the Pea	Fairy tales, Works by Hans Christian Andersen
The Rev	American drummers, American heavy metal musicians, Drug-related deaths, Musicians from California, 1981 births, 2009 deaths, Huntington Beach, California
Loftus Road	Football stadiums in England
Chrissy Amphlett	Australian singer-songwriters, Australian rock singers, Cancer deaths in New York City, Deaths from breast cancer, Musicians from Victoria (Australia), People from Geelong, 1959 births, 2013 deaths
Father Divine	1870s births, 1965 deaths, Christian religious leaders, People from Maryland
Defiance (2008 movie)	2008 drama movies, 2000s war movies, American drama movies, American war movies, English-language movies, Movies directed by Edward Zwick
Ruby (programming language)	Programming languages
Hurricane Earl (2010)	Hurricanes, 2010 in weather, Hurricanes in the United States
The Snow Queen	Fairy tales, Works by Hans Christian Andersen
Zara (Italian province)	History of Italy
Gingerbread Man (fairy tale)	Fairy tales
Richie Havens	African American musicians, American activists, American folk musicians, American guitarists, Cardiovascular disease deaths in New Jersey, Deaths from myocardial infarction, Folk singers, Musicians from Brooklyn, Singer-songwriters from New York, 1941 births, 2013 deaths
Jessica McClure	People from Texas, 1986 births, Living people
GoldenEye 007 (2010 video game)	2010 video games, Wii games, Nintendo DS games, Shooter video games, Video game remakes, James Bond
Constitution of Japan	Government of Japan, Constitutions, 1946, 1947 in Asia, 1940s in Japan
Italian irredentism in Dalmatia	History of Italy, Dalmatia
Roman expeditions to Lake Chad and western Africa	Ancient Rome, History of Africa
The Little Match Girl	Fairy tales, Works by Hans Christian Andersen
The Steadfast Tin Soldier	Fairy tales, Works by Hans Christian Andersen
Haley Bennett	American movie actors, 1988 births, Living people, Actors from Florida
Jessica Poland	Singers from New York, 1988 births, Living people
Turpan	Xinjiang, Cities in China
Ürümqi	Xinjiang, Cities in China, Capital cities in Asia
Visual poetry	Poetry, Art
Billy The Kid (book)	2000 books
Mimaropa	Regions of the Philippines
Palawan	Provinces of the Philippines, Asia-related lists
Kalayaan, Palawan	Settlements in the Philippines, 1978 establishments in Asia, 1970s establishments in the Philippines
San Diego Convention Center	Convention and exhibition centers in the United States, Buildings and structures in San Diego, California, 1989 establishments in California
List of ports in England	Ports and harbours of the United Kingdom, Lists about England
Burning of Jaffna library	1981 crimes, 1981 in Asia, 1980s crimes in Asia, 1980s fires, 1980s riots, Arson, Attacks on buildings and structures in Asia, Attacks on buildings and structures in the 1980s, Building and structure fires in Asia, Jaffna District, June events, Libraries in Asia, Mass murder in Asia, Mass murder in the 1980s, Sri Lankan Civil War
List of Mayflower passengers	Lists of people, Mayflower passengers
Polk County, Iowa	Iowa counties, 1846 establishments in Iowa Territory
Book of hours	Books of the Roman Catholic Church
Breviary	Books of the Roman Catholic Church, Christian worship and liturgy
Defender of the Faith	Titles, British royalty, Protestant Reformation
Johnson County, Kansas	1855 establishments in Kansas Territory, Johnson County, Kansas
Lady chapel	Churches
Lammas Day	Christian holidays, August events
Epic Mickey	2010 video games, Disney video games, Epic Mickey series, Wii games, Wii-only games, Platform games
Game & Wario	2013 video games, Wii U games, Wario, Party video games
The Fir Tree	Fairy tales, Works by Hans Christian Andersen
Jack and the Beanstalk	Fairy tales
Sonic Advance	2001 video games, Sonic the Hedgehog games, Platform games, Game Boy Advance games
Lauren Storm	Actors from Illinois, American movie actors, American television actors, 1987 births, Living people
Equalization (audio)	Audio technology
Rocky Balboa (movie)	2006 drama movies, 2000s sports drama movies, Columbia Pictures movies, Rocky movies, Screenplays by Sylvester Stallone, Movies directed by Sylvester Stallone
Dani Filth	1973 births, Living people, British esotericists, English singers, Heavy metal singers, People from Herefordshire
Scott Stapp	1973 births, Living people, American Christians, American heavy metal musicians, American rock singers, Grammy Award winners, People from Orlando, Florida, Singers from North Carolina
Abdominal compartment syndrome	Syndromes
Vince Neil	1961 births, Living people, American heavy metal musicians, American racecar drivers, American rock singers, Singers from Los Angeles, California
Tower Heist	2011 comedy movies, 2011 crime movies, 2010s criminal comedy movies, American criminal comedy movies, English-language movies, Heist movies, Midlife crisis movies, Movies directed by Brett Ratner, Movies set in New York City
Bogotá bag	Surgery, Medical equipment
Allan Arbus	1918 births, 2013 deaths, Deaths from heart failure, American movie actors, American television actors, American stage actors, American radio actors, American voice actors, American photographers, Jewish American actors, Actors from New York City
Westchester County, New York	New York (state) counties
Ricky Jay	1946 births, 2018 deaths, American movie actors, American television actors, American stage actors, Jewish American actors, Jewish American writers, American magicians, Actors from New York City, Writers from New York City, Deaths from natural causes, Disease-related deaths in Los Angeles
Walter Huddleston	1926 births, 2018 deaths, US Democratic Party politicians, United States senators from Kentucky
Jocelyn Burdick	1922 births, 2019 deaths, US Democratic Party politicians, United States senators from North Dakota, People from Fargo, North Dakota
Greyhound racing	Sports involving animals
Metroid Fusion	2002 video games, 2003 video games, Game Boy Advance games, Virtual Console games, Metroid
Korean Democratic Party	Political parties in South Korea
Korean Resistance Party	Political parties in South Korea, Politics of South Korea
Chrism	Christian religious objects, Religious symbols
Celtic cross	Roman Catholicism, Christian symbols
Baptismal font	Containers, Christian religious objects
Wagtail	Passeriformes
Locating (physics)	physics
Let 'Em In	1976 songs, Pop songs
Trajectory	Physics
Ed Dyas	1939 births, 2011 deaths, American football running backs, Deaths from stomach cancer
Wayne County, Michigan	Michigan counties, 1810s establishments in Michigan Territory, 1815 establishments
Greenville County, South Carolina	1786 establishments in the United States, South Carolina counties, 18th-century establishments in South Carolina
Metroid Prime Hunters	2006 video games, Nintendo DS games, Virtual Console games, Shooter video games, Metroid Prime
Local Government Area	Local government
Drew LeBlanc	American ice hockey players, Sportspeople from Minnesota, Chicago Blackhawks players, 1989 births, Living people, People from Duluth, Minnesota, American Hockey League players, United States Hockey League players, Ice hockey centres
Memorial for the Yeshuv volunteers in World War II	Mandatory Palestine, Monuments and memorials in Mount Herzl, World War II memorials in Israel
Memorial for the Last of Kin	Monuments and memorials in Mount Herzl
Mike Embley	1955 births, Living people, BBC television presenters, English journalists, English television presenters, Television personalities from Surrey
Anna Proclemer	1923 births, 2013 deaths, Deaths from natural causes, Italian movie actors, Italian television actors, Italian stage actors, Italian voice actors
Vitaliano Brancati	1907 births, 1954 deaths, Deaths from myocardial infarction, Italian writers
Massimo Bontempelli	1878 births, 1960 deaths, Italian poets, Italian playwrights, Italian composers, Italian writers
Beta Israel Memorial	Monuments and memorials in Mount Herzl
Al Neuharth	1924 births, 2013 deaths, Accidental deaths from falls, Businesspeople from South Dakota, American journalists, Writers from South Dakota
Yasukuni Shrine	Shinto shrines, Buildings and structures in Tokyo
Memorial for the Defenders of the Old City of Jerusalem	Monuments and memorials in Mount Herzl, Military monuments and memorials in Israel
Johnny Lockwood	1920 births, 2013 deaths, Actors from London, Australian comedians, Australian movie actors, Australian stage actors, Australian television actors, Australian voice actors, Comedians from London, Deaths from natural causes, English movie actors, English stage actors, English television actors, English voice actors
Carl Perkins	1932 births, 1998 deaths, American country musicians, American rock guitarists, American rock singers, American singer-songwriters, Cancer deaths in Tennessee, Cardiovascular disease deaths in Tennessee, Deaths from stroke, Deaths from throat cancer, Grammy Award winners, Infectious disease deaths in the United States, Musicians from Tennessee, Singers from Tennessee
Regent's Park	City of Westminster, London Borough of Camden, Parks in the United Kingdom
Divine Office	Roman Catholicism, Christian prayers
Birkenhead	Birkenhead
Judd Hirsch	1935 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City, Writers from New York City, Movie directors from New York, Golden Globe Award winning actors, Tony Award winning actors, Emmy Award winning actors, Drama Desk Award winners
Candlemas	Roman Catholicism, Christian holidays, February events
Kirk Hinrich	1981 births, Living people, American basketball players, Chicago Bulls players, Washington Wizards players, Atlanta Hawks players, Sportspeople from Iowa, People from Sioux City, Iowa
Justify My Love	1990 songs, Controversies, Madonna songs, Songs about sexuality
Coleslaw	Salads
Footbridge	Bridge types
Musée de l'Air et de l'Espace	Museums in France, Aviation in France, Île-de-France
National Tsing Hua University	Colleges and universities in Taiwan, 1955 establishments in Asia, 20th century establishments in Taiwan
National Chiao Tung University	Colleges and universities in Taiwan, 1896 establishments in Asia, Establishments in Taiwan
National Central University	Colleges and universities in Taiwan, 1962 establishments in Asia, 20th century establishments in Taiwan
National Yang-Ming University	1975 establishments in Asia, Colleges and universities in Taipei, 20th century establishments in Taiwan
Diana Bolocco	1977 births, Living people, Chilean journalists, Chilean television presenters, People from Santiago
Minnehaha County, South Dakota	South Dakota counties, 1862 establishments in Dakota Territory
Duecento	History of Italy, Renaissance, 13th century in Europe
Michal Rozsíval	1978 births, Chicago Blackhawks players, Czech ice hockey players, Living people, New York Rangers players, Phoenix Coyotes players, Pittsburgh Penguins players, Stanley Cup champions, American Hockey League players, Ice hockey defencemen
Pedra Branca, Singapore	Geography of Singapore, Islands of Asia, Places in Singapore
Rosa García Ascot	1902 births, 2002 deaths, Spanish composers, Spanish pianists
John Carver	Mayflower passengers, 1580s births, 1621 deaths
Gulbarga district	Districts of Karnataka
Beed district	Maharashtra, Districts of India
Hingoli district	Maharashtra, Districts of India
Hathras district	Districts of Uttar Pradesh
Pratapgarh district, Uttar Pradesh	Districts of Uttar Pradesh
Budaun	Districts of Uttar Pradesh, Cities and towns in Uttar Pradesh
Sonic Generations	2011 video games, Platform games, PlayStation 3 games, Xbox 360 games, Windows games, Nintendo 3DS games, Sonic the Hedgehog games, 3D platform games, Video games developed in Japan, Video games with time travel
Hamirpur district, Uttar Pradesh	Districts of Uttar Pradesh
Ambedkar Nagar district	Districts of Uttar Pradesh, B. R. Ambedkar
Kushinagar district	Districts of Uttar Pradesh
Etawah district	Districts of Uttar Pradesh
Game Boy Camera	Nintendo hardware
Raebareli district	Districts of Uttar Pradesh
Game Boy Printer	Nintendo hardware
Blast injury	Medical emergencies
Sam Raimi	1959 births, Living people, Actors from Michigan, American movie actors, American voice actors, Jewish American actors, Jewish American writers, Movie directors from Michigan, Movie producers from Michigan, Saturn Award winners, Screenwriters from Michigan, People from Royal Oak, Michigan
Men in Black 3	2010s action movies, 2012 comedy movies, 2012 science fiction movies, American action movies, American comedy movies, American science fiction movies, Comedy science fiction movies, English-language movies, Men in Black, Movies composed by Danny Elfman, Movies directed by Barry Sonnenfeld, Movies set in the 1960s, Sequel movies, Time travel movies
Irán Eory	Iranian actors, 1937 births, People from Tehran, Spanish television actors, Spanish movie actors, Mexican movie actors, Mexican television actors, 2002 deaths
George Jones	1931 births, 2013 deaths, Deaths from respiratory failure, American country musicians, Singer-songwriters from Texas, American guitarists
Grandpa Jones	1913 births, 1998 deaths, Deaths from stroke, American singer-songwriters, American guitarists, American country musicians, American bluegrass musicians, Banjo players, Singers from Kentucky
Josh Ryan Evans	American television actors, American movie actors, Actors from Alameda County, California, 1982 births, 2002 deaths, People from Hayward, California, People with dwarfism
2013 Savar building collapse	2013 disasters in Asia, 2010s in Bangladesh, April 2013 events, Dhaka Division
William L. Guy	1919 births, 2013 deaths, Deaths from Alzheimer's disease, US Democratic Party politicians, Governors of North Dakota
Men in Black II	2002 comedy movies, 2000s action comedy movies, 2002 science fiction movies, 2000s sequel movies, American action comedy movies, American science fiction movies, American sequel movies, Comedy science fiction movies, English-language movies, Impact of the September 11 attacks, Men in Black, Movies about dogs, Movies directed by Barry Sonnenfeld, Movies composed by Danny Elfman
How Do U Want It	1996 songs, Pop songs
Finding Dory	2010s adventure movies, 2016 animated movies, 2010s buddy movies, 2016 comedy movies, 2010s sequel movies, American adventure movies, American animated movies, American buddy movies, American comedy movies, American family movies, American sequel movies, Buddy comedy movies, Computer-animated movies, Finding Nemo, Movies about fish, Movies set in California, Pixar movies, Movies directed by Andrew Stanton
Calahorra	Cities in La Rioja (Spain), Municipalities in La Rioja (Spain)
Blood film	Blood, Medical tests
Jean Smart	American television actors, American stage actors, 1951 births, Living people, Actors from Seattle, Washington
Iwo Jima	Islands of Japan
WBZ-TV	American television stations, Boston, Massachusetts, Columbia Broadcasting System, Viacom, 1948 establishments in the United States, 1940s establishments in Massachusetts
Richard Matheson	1926 births, 2013 deaths, 20th-century American novelists, 21st-century American novelists, American novelists, American screenwriters, American television writers, Deaths from natural causes, Writers from New Jersey
